Category,Round
BRITISH SPEECHES,Double Jeopardy!
"""MAN""LY MOVIES",Double Jeopardy!
PORT-POURRI,Double Jeopardy!
TALK LIKE SHAKESPEARE,Double Jeopardy!
THE 1910s,Jeopardy!
THE STARS,Jeopardy!
DRUGS,Double Jeopardy!
'60S BESTSELLERS,Double Jeopardy!
THE STARS,Double Jeopardy!
SATURDAY NIGHT LIVE,Jeopardy!
"EVERY TIM, DIRK OR GARY",Jeopardy!
OPERA QUEENS,Jeopardy!
CELL-PHONING IT IN,Jeopardy!
"THE ""NEW"" WORLD",Double Jeopardy!
THE CONSTANT GARDENER,Double Jeopardy!
CRASH,Double Jeopardy!
WALK THE LINE,Double Jeopardy!
RECENT MOVIES,Double Jeopardy!
MUSICALS,Jeopardy!
DAN QUAYLE,Jeopardy!
GOLF,Jeopardy!
4-LETTER BIRDS,Jeopardy!
IRELAND,Double Jeopardy!
DESPOTS & DICTATORS,Double Jeopardy!
THE ODYSSEY,Double Jeopardy!
LOST IN LAOS,Jeopardy!
THE SIMPSONS,Jeopardy!
SECURITY,Jeopardy!
IT'S NOT ALEX TREBEK,Jeopardy!
STATE THE COLLEGE,Jeopardy!
"""T"" FOR ONE?",Jeopardy!
CHAUCER & FRIENDS,Double Jeopardy!
"OSCAR, GRAMMY OR BOTH",Double Jeopardy!
IT'S A GAS,Double Jeopardy!
IF YOU BUILD IT...,Double Jeopardy!
"THEY WILL ""COME""",Double Jeopardy!
BROADWAY STARS,Final Jeopardy!
EUROPEAN COUNTRIES,Jeopardy!
ONE-WORD MOVIE TITLES,Jeopardy!
I AM CURIOUS: YELLOW,Jeopardy!
FACES OF AMERICA,Jeopardy!
"""D""-VIDE",Jeopardy!
CONQUER,Jeopardy!
SONG NAMES,Double Jeopardy!
FDR,Double Jeopardy!
"WHAT THE ""H""?",Double Jeopardy!
JANE EYRE'S WEDDING REGISTRY,Double Jeopardy!
FREE SPEECH,Double Jeopardy!
CLASSIC CARTOON CHARACTERS,Final Jeopardy!
SHINING ARMOR,Jeopardy!
BUSINESS WORDS,Jeopardy!
LESSER-KNOWN ANCIENT ROMANS,Jeopardy!
PENINSULAS,Double Jeopardy!
MEN ON FILM,Double Jeopardy!
TIME QUOTES,Double Jeopardy!
"""A"" TOUGHIE",Double Jeopardy!
HORTICULTURE,Double Jeopardy!
RULE BRITANNIA,Jeopardy!
DYSFUNCTION JUNCTION,Jeopardy!
GRAY MATTER,Jeopardy!
HAVE A BEER & A SLOGAN,Jeopardy!
SELDOM IS HEARD,Jeopardy!
A DISCOURAGING WORD,Jeopardy!
GEORGIA,Double Jeopardy!
SITCOM THEME SONGS,Double Jeopardy!
"SOME SCIENCE, SOME NATURE",Double Jeopardy!
CAR SHOW,Double Jeopardy!
THE ART OF WORK,Double Jeopardy!
"""IT"" HAPPENS",Double Jeopardy!
CELEBRATIONS,Final Jeopardy!
TOYS IN THE GARAGE,Jeopardy!
BARRY MANILOW,Jeopardy!
LOW SELF-ESTEEM,Jeopardy!
MORE CELEBRITY RHYME TIME,Jeopardy!
1980s LIT,Double Jeopardy!
THE FANNIE FARMER COOKBOOK,Double Jeopardy!
"""PEN"" PALS",Double Jeopardy!
THE 50th GRAMMYS,Jeopardy!
THE VEEP,Jeopardy!
"TIME TO ""BEG"" FOR IT",Jeopardy!
20th CENTURY AMERICAN ARTISTS,Double Jeopardy!
"""M.J.""",Double Jeopardy!
BOOZE-A-PALOOZA,Double Jeopardy!
INTERNATIONAL PARKS,Double Jeopardy!
"""B"" SHARP",Double Jeopardy!
STAYING AT HOME,Jeopardy!
THE WORLD COMES TO YOU,Jeopardy!
CHECK THE NEWSPAPER,Jeopardy!
TAKE OUT THE TRASH,Jeopardy!
"TIME FOR A ""NAP""",Jeopardy!
WOMEN ON MY INFINITE PLAYLIST,Double Jeopardy!
KINGS OF LEON,Double Jeopardy!
LITERARY SETTINGS,Double Jeopardy!
"OOO, 3 ""O""s",Double Jeopardy!
THE HISTORY OF FLIGHT,Final Jeopardy!
TAX TIME,Jeopardy!
"MUSIC IN ""BLACK"" & ""WHITE""",Jeopardy!
HENRY VIII,Double Jeopardy!
ARTISTS & THEIR SUBJECTS,Double Jeopardy!
MOVIES IN BLACK & WHITE,Double Jeopardy!
THE WORLD ALMANAC AND BOOK OF FACTS,Jeopardy!
WHO DID THAT TUNE?,Jeopardy!
GIRL SCOUT BADGES,Jeopardy!
WHEN YOU GO TO COLLEGE,Jeopardy!
"CROSSWORD CLUES ""P""",Jeopardy!
"""A"" IN GEOGRAPHY",Double Jeopardy!
GOSSIP GIRLS,Double Jeopardy!
I'M SO HOT,Double Jeopardy!
LITERARY HODGEPODGE,Double Jeopardy!
SHIFT INTO...,Double Jeopardy!
REALITY SHOWS A LA SHAKESPEARE,Jeopardy!
SEPTEMBER'S HERE ALREADY,Jeopardy!
SIDE EFFECTS MAY INCLUDE...,Jeopardy!
TALK LIKE A PIRATE,Jeopardy!
HELLO CLEVELAND!,Jeopardy!
AIRLINE CARRY ON NO-NOS,Jeopardy!
SCIENCE FICTION FILMS,Double Jeopardy!
19th CENTURY QUOTATIONS,Double Jeopardy!
YANKEE MAGAZINE,Double Jeopardy!
"THE ""EYE""s HAVE IT",Double Jeopardy!
METALS,Double Jeopardy!
THE VOTES ARE IN,Double Jeopardy!
HARRISON FORD,Jeopardy!
INDIANA,Jeopardy!
JONES,Jeopardy!
AND THE KINGDOM,Jeopardy!
OF THE CRYSTAL,Jeopardy!
SKULL,Jeopardy!
GREAT BRITS,Double Jeopardy!
THE TROPHY CASE,Double Jeopardy!
WARS BY BATTLES,Double Jeopardy!
ADVERTISING WITH MAD MEN,Double Jeopardy!
GEMS & JEWELS,Double Jeopardy!
TRIPLE DOUBLE-LETTER WORDS,Double Jeopardy!
MOVIES,Jeopardy!
BRITISH ROYALTY,Jeopardy!
WYOMINGITES,Jeopardy!
THE PIANO,Jeopardy!
IN OTHER WORDS....,Jeopardy!
"""A"" IN LITERATURE",Double Jeopardy!
THE CIVIL WAR,Final Jeopardy!
1982,Jeopardy!
INTERNATIONAL ACTORS,Jeopardy!
A WORLD OF CRITTERS,Jeopardy!
VOICE OF AMERICA,Double Jeopardy!
AUTHORS' NATIVE LANDS,Double Jeopardy!
"HEY, ""MAN""!",Double Jeopardy!
DON'T MISS IT!,Double Jeopardy!
SALLY GOES TO SPACE CAMP,Jeopardy!
1997 MOVIE AD LINES,Jeopardy!
THEME PARK FUN,Jeopardy!
WHEN THEY WERE TEENAGERS,Jeopardy!
"""PICK"" ME!",Jeopardy!
DON'T PICK ME!,Jeopardy!
BUFFY THE VAMPIRE SLAYER,Double Jeopardy!
TREE VERBS,Double Jeopardy!
seventeen.,Double Jeopardy!
WOMEN AUTHORS,Final Jeopardy!
SPORTS RULES,Jeopardy!
BACK TO SCHOOL,Double Jeopardy!
NATURE WALK,Double Jeopardy!
MY KID SISTER'S SONGS,Double Jeopardy!
POP MUSIC,Final Jeopardy!
THEMES LIKE OLD TIMES,Jeopardy!
REIGN DROPS,Jeopardy!
"KEEP ""FALL""ING",Jeopardy!
ON MY HEAD,Jeopardy!
A DAY AT THE DOG SHOW,Jeopardy!
PLAY BALL!,Double Jeopardy!
ISLANDS OF THE SOUTH PACIFIC,Double Jeopardy!
CORRESPONDENTS,Double Jeopardy!
"""C"" IN SHAKESPEARE",Double Jeopardy!
ACTRESS-DIRECTORS,Jeopardy!
COUNTRIES BY REGION,Jeopardy!
HUNDREDS,Jeopardy!
"""S.C.""",Jeopardy!
THE 19-AUGHTS,Double Jeopardy!
SPORTS ON TV,Double Jeopardy!
KITTY LIT,Double Jeopardy!
PRESIDENTIAL LAST NAMES,Double Jeopardy!
USC,Double Jeopardy!
HISTORIC TERMS,Final Jeopardy!
FATHER OF THE BRIDE,Jeopardy!
"PLANES, TRAINS & AUTOMOBILES",Jeopardy!
ALL OF ME,Jeopardy!
DIRTY ROTTEN SCOUNDRELS,Jeopardy!
L.A. STORY,Jeopardy!
STEVE MARTIN MOVIES,Jeopardy!
SPORTS ILLUSTRATED MAGIC NUMBERS,Double Jeopardy!
ALL ABOUT PRESIDENTS,Double Jeopardy!
BOYFRIENDS & GIRLFRIENDS,Double Jeopardy!
AFRICAN CITIES,Final Jeopardy!
VETERINARY AFFAIRS,Jeopardy!
4-LETTER BANDS,Jeopardy!
A DIRTY CATEGORY,Jeopardy!
GOOD BUY,Jeopardy!
SHAKESPEARE'S EARLY DRAFTS,Double Jeopardy!
CLASSIC FILMS,Double Jeopardy!
FAMOUS JOHNS,Double Jeopardy!
"OH, WHAT A YEAR!",Double Jeopardy!
"TO A ""T""",Double Jeopardy!
POLITICAL PARTIES,Jeopardy!
RELIGIOUS HISTORY,Double Jeopardy!
RUDOLPHS & RUDOLFS,Double Jeopardy!
PRESIDENTIAL COUPLES...NOT!,Jeopardy!
"SIT, TAKE A LOAD OFF",Jeopardy!
"""NEW"" PLACES",Jeopardy!
PICK UP YOUR CLOTHES,Jeopardy!
ZEUS & FAMILY,Double Jeopardy!
THE SEA'S BOUNTY,Double Jeopardy!
"""FU"" ON YOU",Double Jeopardy!
THAT'S ALL SHE WROTE,Double Jeopardy!
DIETING,Jeopardy!
CLASSIC TV CATCHPHRASES,Jeopardy!
ETYMOLOGY,Jeopardy!
"NEW YORK, NEW YORK",Jeopardy!
A FEW WORDS FROM WORDSWORTH,Double Jeopardy!
1988,Double Jeopardy!
COMICS & COMIC BOOKS,Double Jeopardy!
DUBLINERS,Double Jeopardy!
INSTITUTIONS,Double Jeopardy!
"STARTS & ENDS WITH ""A""",Double Jeopardy!
THE OLYMPICS,Final Jeopardy!
NEW REPUBLIC,Jeopardy!
POPULAR PHOTOGRAPHY,Jeopardy!
PREMIERE,Jeopardy!
"ROLLING ""STONE""",Jeopardy!
TIME'S MAN OF THE YEAR,Jeopardy!
BREAK OUT THE ATLAS,Double Jeopardy!
NOW HEAR THIS!,Double Jeopardy!
NOVELISTS,Final Jeopardy!
THE KOREAN WAR,Jeopardy!
STOCK CARS,Jeopardy!
THE SANDBOX,Jeopardy!
ALL ABOUT KAZAKHSTAN,Jeopardy!
MISS UNIVERSE,Jeopardy!
"THE ""CENTRAL"" ISSUE",Jeopardy!
19th CENTURY LITERARY CHARACTERS,Double Jeopardy!
ADVICE,Double Jeopardy!
"EVERY TOM, DICK & HARRY",Double Jeopardy!
SEA CREATURES,Double Jeopardy!
LESSER-KNOWN ANCIENT ROMANS,Double Jeopardy!
SIGNS & SYMBOLS,Final Jeopardy!
HIDDEN DVD TREATS,Jeopardy!
WATERCRAFT,Jeopardy!
"IT'S ""TEA"" TIME",Jeopardy!
HOW VERY PROPER,Jeopardy!
"MOVIE CROSSWORD CLUES ""G""",Double Jeopardy!
THUNDER & LIGHTNING,Double Jeopardy!
GOVERNMENT & POLITICS,Final Jeopardy!
DEFENDING THE U.S.,Jeopardy!
BOND MOVIES BY INITIALS,Jeopardy!
COLORFUL CHARACTERS,Jeopardy!
SEAFOOD,Jeopardy!
STATE SONG LYRICS,Jeopardy!
GOOD SENSE,Jeopardy!
QUEEN,Double Jeopardy!
UNDER PRESSURE,Double Jeopardy!
BOHEMIAN RHAPSODY,Double Jeopardy!
KEEP YOURSELF ALIVE,Double Jeopardy!
"ANOTHER ONE BITES THE ""UST""",Double Jeopardy!
ANIMATED CHARACTERS,Final Jeopardy!
THE ANIMAL KINGDOM,Jeopardy!
I ♥ NY,Jeopardy!
MOVIES,Double Jeopardy!
U.S. GEOGRAPHY IN SONG,Jeopardy!
ALPHABETICALLY LAST,Jeopardy!
COMPOUND WORDS,Jeopardy!
GUNS & AMMO,Jeopardy!
HAUTE COUTURE,Jeopardy!
RICH-ARTs & ROB-ARTs,Double Jeopardy!
APPROPRIATE NAMES,Double Jeopardy!
BRITISH BUSINESS,Double Jeopardy!
"CROSSWORD CLUES ""T""",Double Jeopardy!
ISTHMUS IN MAY,Double Jeopardy!
DESPERATE HOUSEFLIES,Double Jeopardy!
LAW & SOCIETY,Final Jeopardy!
CELEBRITY AUTHORS,Jeopardy!
FADS & FASHIONS,Jeopardy!
RHYMES WITH EEK,Jeopardy!
THE 1880S,Double Jeopardy!
PLAYS,Double Jeopardy!
FISH,Double Jeopardy!
AMERICAN POETRY,Final Jeopardy!
ALONG BOSTON'S FREEDOM TRAIL,Jeopardy!
NAME THE INSTRUMENT,Jeopardy!
A SOLID FOUNDATION,Jeopardy!
THE THEATAH,Jeopardy!
POLLUTION,Jeopardy!
WASHINGTON STATE,Double Jeopardy!
ALSO A BATMAN VILLAIN,Double Jeopardy!
THE FRENCH REVOLUTION,Double Jeopardy!
EPONYMOUS,Double Jeopardy!
"I, MAX",Double Jeopardy!
"UP ON THE ""BIG"" SCREEN",Double Jeopardy!
18th CENTURY LITERATURE,Final Jeopardy!
THE FRANKS,Jeopardy!
ABBREVIATED NO.1 HITS,Jeopardy!
TRIAL PARTICIPANTS,Jeopardy!
FACE BOOK,Jeopardy!
"THE ""SOCIAL"" NETWORK",Jeopardy!
LAWS,Double Jeopardy!
FUNERAL PLOTS,Double Jeopardy!
THEIR DEBUT NOVELS,Double Jeopardy!
LOCAL COLOR,Double Jeopardy!
"WITH THIS ""RING""",Double Jeopardy!
WHERE AM I?,Jeopardy!
SPANISH PHRASE BOOK,Jeopardy!
HODGE PODGE,Jeopardy!
MILITARY NICKNAMES,Jeopardy!
THE MAIN VEGETABLE,Jeopardy!
SAY THAT 3 TIMES FAST!,Jeopardy!
REMEMBER THE 2000s?,Double Jeopardy!
NFL TEAM MASCOTS,Double Jeopardy!
LIKE A VIRGIN,Double Jeopardy!
CAMERAS,Double Jeopardy!
SHADES OF ZANE GREY,Double Jeopardy!
"""POT""s & ""PAN""s",Double Jeopardy!
FEMALE SINGERS,Final Jeopardy!
LOGO LADIES,Jeopardy!
BOOKS BY TV NEWSPEOPLE,Jeopardy!
CIVIL WAR SLANG,Jeopardy!
ACCOUNTING EXAM,Jeopardy!
FASHION STATEMENTS,Double Jeopardy!
DISNEY CINEMA,Double Jeopardy!
THE COUNTRY'S FIRST MONARCH,Double Jeopardy!
ITALIAN VOCABULARY,Final Jeopardy!
BORN IN THE '60S,Jeopardy!
SKYSCRAPER CITIES,Jeopardy!
HOT WHEELS,Jeopardy!
"RUNNING ON ""M.T.""",Jeopardy!
ANCIENT NEWS BULLETINS,Double Jeopardy!
PERSONAL PRODUCTS,Double Jeopardy!
THE QUOTABLE COOLIDGE,Double Jeopardy!
"""PARA""GRAPHS",Double Jeopardy!
1890s SCIENCE,Jeopardy!
NOTABLE NASHES,Jeopardy!
ALL THINGS BRITISH,Jeopardy!
NAME THAT FLICK,Jeopardy!
WRITERS BY MIDDLE NAME,Jeopardy!
IN 2 WORDS,Jeopardy!
FERDINAND & ISABELLA,Double Jeopardy!
MEAT & POTATOES,Double Jeopardy!
HITHER & YON,Double Jeopardy!
ROCK & ROLL,Double Jeopardy!
THIS & THAT,Double Jeopardy!
"""S"" & ""M""",Double Jeopardy!
RELIGIOUS LEADERS,Jeopardy!
'80s BANDS IN OTHER WORDS,Jeopardy!
THE WEASEL FAMILY,Jeopardy!
DUOS,Jeopardy!
THOMAS JEFFERSON'S READING LIST,Double Jeopardy!
OBIE WINNERS,Double Jeopardy!
AMENDMENTS BY NUMBER,Double Jeopardy!
THE FAST,Double Jeopardy!
& THE FURIOUS,Double Jeopardy!
DISABILITY AWARENESS,Jeopardy!
MUSIC OF THE '70s,Jeopardy!
AUTHOR COUNTDOWN,Jeopardy!
BALD AMBITION,Jeopardy!
"ENDS IN ""OY""",Jeopardy!
"HEY, BEAUTIFUL",Double Jeopardy!
"SO, COME HERE OFTEN?",Double Jeopardy!
WHAT'S YOUR SIGN?,Double Jeopardy!
"HAVEN'T WE ""MET"" BEFORE?",Double Jeopardy!
WHERE HAVE YOU BEEN ALL MY LIFE?,Double Jeopardy!
WOULD YOU LIKE TO SEE MY ETCHINGS?,Double Jeopardy!
IS THIS PLACE FOR REAL?,Jeopardy!
ACTING THE PART,Jeopardy!
360,Jeopardy!
THE CONTINENT WHERE YOU'LL FIND...,Jeopardy!
UTENSILS,Jeopardy!
"""TALK"" SOUP",Jeopardy!
MINIONS,Double Jeopardy!
PLEASANT 4-LETTER WORDS,Double Jeopardy!
BORN IN EAST LA.,Double Jeopardy!
INAPPROPRIATE TEAM NAMES,Jeopardy!
ENERGY,Jeopardy!
20th CENTURY PEOPLE,Jeopardy!
"THE BEST LITTLE ""WARE""HOUSE",Jeopardy!
IN TEXAS,Jeopardy!
OCEANOGRAPHY,Double Jeopardy!
CELL BLOCK CINEMA,Double Jeopardy!
MOVERS & QUAKERS,Double Jeopardy!
EPIC POEMS AS COUNTRY SONGS,Double Jeopardy!
YOU SAID A MOUTHFUL!,Double Jeopardy!
WORD ODDITIES,Final Jeopardy!
NEWSPAPER COMICS,Jeopardy!
GUM,Jeopardy!
THE LAST KING,Jeopardy!
MAKES SCENTS TO ME!,Jeopardy!
AMERICAN IDOL SONGS,Double Jeopardy!
TEXT MESSAGING,Double Jeopardy!
CATCH OF THE DAY,Double Jeopardy!
OPPOSITES ATTRACT,Double Jeopardy!
WOMEN FIRST,Jeopardy!
SPICY NAMES,Jeopardy!
FEET,Jeopardy!
RULERS,Double Jeopardy!
COOKS & BOOKS,Double Jeopardy!
TEACHERS ON TV,Double Jeopardy!
YARDS,Double Jeopardy!
ANCIENT WONDERS,Final Jeopardy!
AMERICAN BIRDS,Jeopardy!
STATE SONGS?,Jeopardy!
THE BAD AIR UP THERE,Jeopardy!
THE ARMED FORCES,Jeopardy!
"""EEL"" OF FORTUNE",Jeopardy!
IN THE HARDWARE STORE,Double Jeopardy!
CELEBRITIES' MIDDLE NAMES,Double Jeopardy!
"WHERE'S THE ""FIRE""?",Double Jeopardy!
ADVERTISING ICONS,Final Jeopardy!
FOREIGN ANATOMY,Jeopardy!
INTERNATIONAL SIGNS & SYMBOLS,Jeopardy!
WORLD CURRENCY,Double Jeopardy!
THE OLYMPIC GAMES,Double Jeopardy!
PAINTERS,Final Jeopardy!
20th CENTURY AMERICA,Jeopardy!
1981 MOVIES,Jeopardy!
SLEEP,Jeopardy!
"""SH""",Jeopardy!
FORMER CAPITALS,Double Jeopardy!
COUNTRY SINGERS,Double Jeopardy!
CRITTERS,Double Jeopardy!
TV & MOVIE SETTINGS,Final Jeopardy!
CONVENTION-AL WISDOM,Jeopardy!
LA LA,Jeopardy!
REALLY BUSY AIRPORTS,Jeopardy!
ON THE FLY,Jeopardy!
THEY'VE BEEN IN YOUR DEN,Jeopardy!
TERMS OF ENDEARMENT,Jeopardy!
MALTA BOUND,Double Jeopardy!
COUNTRY STARS,Double Jeopardy!
LOOK WHO'S TALKING,Double Jeopardy!
STATE PARKS,Double Jeopardy!
"GOIN' ""PRO""",Double Jeopardy!
FILMS & AUTHORS,Final Jeopardy!
CHRISTMAS HISTORY,Jeopardy!
COLLEGE SPORTS TEAM LOGOS,Jeopardy!
PASS THE POTATOES,Jeopardy!
FIRE WHEN READY,Jeopardy!
"KA-""POW""!",Jeopardy!
THE MACY'S PARADE: BEHIND THE SCENES,Jeopardy!
MOVIE JACK POT,Double Jeopardy!
"""E""-MALE",Double Jeopardy!
U.S. CITY HISTORY,Double Jeopardy!
A LOST LETTER FROM SHAKESPEARE,Double Jeopardy!
THE MIDDLE EAST,Final Jeopardy!
ACCESSORIES,Jeopardy!
MEDAL OF HONOR WINNERS,Jeopardy!
10-HUT!,Jeopardy!
SIR! YES SIR!,Jeopardy!
IT'S NOT WHAT IT SEEMS,Double Jeopardy!
CLASSIC BOOKS,Double Jeopardy!
THE ARMY-NAVY GAME,Double Jeopardy!
"""FOURTH""",Double Jeopardy!
THE U.S. POSTAL SERVICE,Jeopardy!
ABBOTT & COSTELLO'S BASEBALL TEAM,Jeopardy!
ROAD TO RHODE ISLAND,Jeopardy!
"""C"" FOOD",Jeopardy!
CHICKS RULE!,Jeopardy!
EMPLOYEE EVALUATIONS,Jeopardy!
THIS MEANS TROUBLE,Double Jeopardy!
J.S. BACH & SONS,Double Jeopardy!
MR. AND MRS. SMITH,Double Jeopardy!
"""PUT"" SHOTS",Double Jeopardy!
1940s MOVIES,Final Jeopardy!
FOOD-O & DRINK-O,Jeopardy!
LEGAL LINGO,Jeopardy!
"WRITE ON, GIRL!",Jeopardy!
A TOUR OF GREECE,Double Jeopardy!
19th CENTURY NOTABLES,Double Jeopardy!
DOUBLE S,Double Jeopardy!
SEA LIFE,Double Jeopardy!
"HEY, BUD",Double Jeopardy!
DO YOU KNOW HOW FAST YOU WERE GOING?,Double Jeopardy!
FEDERAL PUBLIC SERVANTS,Final Jeopardy!
TOOLS OF THE WRITER'S TRADE,Jeopardy!
QUARTERBACK U.,Jeopardy!
"THE ""N"" CROWD",Jeopardy!
FLAMING FOODS,Jeopardy!
ANIMALS IN ITALIAN,Jeopardy!
THE OLD WEST,Double Jeopardy!
BOOKS & MOVIES,Double Jeopardy!
JULIUS CAESAR SALAD,Double Jeopardy!
BONING UP,Double Jeopardy!
"""BIG"" STUFF",Double Jeopardy!
THE SANDERS OF TIME,Double Jeopardy!
THE 1850s,Jeopardy!
DUTCH BUSINESS & INDUSTRY,Double Jeopardy!
"CROSS WORLD CLUES ""C""",Jeopardy!
ORIGINAL TITLES IN LITERATURE?,Jeopardy!
PURE CLASS,Jeopardy!
REMEMBER THE MANE,Jeopardy!
ON THE BRITISH THRONE,Double Jeopardy!
TV MORTALITY,Double Jeopardy!
BIBLE WHO'S WHO,Double Jeopardy!
BUSINESS LETTERS,Double Jeopardy!
THE COLDEST PROFESSION,Double Jeopardy!
"REMEMBER THE ""MAIN""",Double Jeopardy!
LITERARY BRAWLS,Final Jeopardy!
UNAUTHORIZED BIOGRAPHIES,Jeopardy!
THE PHONE ZONE,Jeopardy!
"SPECIAL ""K""",Jeopardy!
THE KNIGHTS TEMPLAR,Double Jeopardy!
40 DEGREES NORTH LATITUDE,Double Jeopardy!
CAROLS,Double Jeopardy!
OBSOLETE DEFINITIONS,Double Jeopardy!
BUSINESS NEWS,Final Jeopardy!
BASEBALL NICKNAMES,Jeopardy!
BRIAN THE BABY BOOMER,Jeopardy!
"HOWDY, ""BUSTER""",Jeopardy!
FORGOTTEN MUSICALS,Double Jeopardy!
FICTIONAL HEROES,Double Jeopardy!
TOUGH GEOGRAPHY,Double Jeopardy!
QUICK BIOS,Double Jeopardy!
"CROSSWORD CLUES ""S""",Double Jeopardy!
20th CENTURY NEWSMAKERS,Final Jeopardy!
DOUBTFUL DOWNLOADS,Jeopardy!
SLANGUAGE,Jeopardy!
MODERN AFRICAN WOMEN,Double Jeopardy!
COURTROOM DRAMAS,Double Jeopardy!
BIRDWATCHER'S LINGO,Double Jeopardy!
CHINESE LITERATURE,Double Jeopardy!
"""UGH""!",Double Jeopardy!
VICTORY CELEBRATIONS,Final Jeopardy!
YOGI BERRA: PHILOSOPHER,Jeopardy!
CENTRAL AMERICA,Jeopardy!
LEGENDS,Jeopardy!
WHAAAZUUUP?!,Jeopardy!
"WHAT ARE ""YOU"" DOING?",Jeopardy!
SLOW NEWS DAY,Jeopardy!
MOVIE TRAILERS,Double Jeopardy!
OPRAH'S BOOK CLUB,Double Jeopardy!
HOW SOON WE FORGET,Double Jeopardy!
"WHAT AILS ""IA""",Double Jeopardy!
ARABIC TO ROMAN NUMERALS,Double Jeopardy!
HISTORIC HEROES,Final Jeopardy!
EUROPEAN HISTORY,Jeopardy!
ITALIAN FOOD,Jeopardy!
ACTORS ON STAGE,Jeopardy!
SONG STANDARDS,Double Jeopardy!
HOBBIES,Double Jeopardy!
BRITISH CHILDREN'S AUTHORS,Jeopardy!
SWIMMING,Jeopardy!
POLITICS '96,Double Jeopardy!
CANADIAN CITIES,Double Jeopardy!
FILM DIRECTORS,Double Jeopardy!
CONTEMPORARIES,Double Jeopardy!
MYSTERY NOVELS,Final Jeopardy!
POLITICIANS,Jeopardy!
MOVIES BY QUOTE,Jeopardy!
WHEN YOU WERE YOUNG,Jeopardy!
NICE RIDE,Jeopardy!
HIDDEN COLORS,Jeopardy!
WE LOVE THE THEATRE,Double Jeopardy!
SO WHAT'D YOU DO WITH THE MONEY?,Double Jeopardy!
COME UP TO THE LAB,Double Jeopardy!
...SEE WHAT'S ON THE SLAB,Double Jeopardy!
NBA LOGOS,Final Jeopardy!
BANDS OF THE '80S,Jeopardy!
THEY ALSO RAN,Double Jeopardy!
FOREST PRODUCTS,Double Jeopardy!
SPEAKING HINDI,Double Jeopardy!
1997,Jeopardy!
PROFESSIONS IN SONG,Jeopardy!
ROCKET SCIENCE,Jeopardy!
FOUNDER'S DAY,Double Jeopardy!
TOUGH OZ,Double Jeopardy!
THE WANDER YEARS,Double Jeopardy!
FAMOUS HOTELS,Final Jeopardy!
WOMEN RULE!,Jeopardy!
RADIO WAVES,Jeopardy!
BAD NEWS,Jeopardy!
CLIFFS NOTES,Jeopardy!
A.T.,Jeopardy!
CAPITAL TOURISM,Double Jeopardy!
STRICTLY BUSINESS,Double Jeopardy!
F. SCOTT FITZGERALD,Double Jeopardy!
"MIND YOUR ""P""s & ""Q""s",Double Jeopardy!
OSCAR-WINNING MOVIES,Final Jeopardy!
1980s TV,Jeopardy!
THIRTYSOMETHING,Jeopardy!
GROWING PAINS,Jeopardy!
SAINT ELSEWHERE,Jeopardy!
"THE ""FAC""s OF LIFE",Jeopardy!
20th CENTURY ART,Double Jeopardy!
THE NEW YORK TIMES OBITUARIES,Double Jeopardy!
UNREAL ESTATE BROKERS,Double Jeopardy!
SOUNDS LIKE A SANDWICH,Double Jeopardy!
I'LL HAVE A B_L_T,Double Jeopardy!
HE'S MY VICE PRESIDENT!,Jeopardy!
REVOLUTIONARIES,Jeopardy!
STRAWBERRIES,Jeopardy!
CLOWNING AROUND,Jeopardy!
1798,Double Jeopardy!
'80s CINEMA,Double Jeopardy!
SACRED SITES,Double Jeopardy!
CROW-TATIONS,Double Jeopardy!
WHAT AM I AFRAID OF?,Double Jeopardy!
VIRGINIA WOOLF,Double Jeopardy!
LAS VEGAS CENTENNIAL,Jeopardy!
TOON UP,Jeopardy!
ROBERTS RULE,Jeopardy!
"ARMY, NAVY OR MARINES",Jeopardy!
"ENDS IN ""X""",Jeopardy!
HEALTH MATTERS,Double Jeopardy!
ALTERNATIVE HISTORY NOVELS,Double Jeopardy!
"IN A ""B"" COUNTRY",Double Jeopardy!
2 MILLION,Double Jeopardy!
BUCKS,Double Jeopardy!
PRESIDENTS & THE MOVIES,Final Jeopardy!
THE 1930s,Jeopardy!
GET A JOB,Jeopardy!
MIND YOUR BUSINESS,Jeopardy!
THE NFL'S STAR QUARTERBACKS,Jeopardy!
OLD TESTAMENT PEOPLE,Jeopardy!
A PERFECT LETTER,Jeopardy!
EUROPEAN GEOGRAPHY,Double Jeopardy!
"ALL ""DE"" BEST PEOPLE",Double Jeopardy!
SECOND LADIES' FIRST NAMES,Double Jeopardy!
FRONT PAGE HISTORY,Final Jeopardy!
21st CENTURY WORLD LEADERS,Jeopardy!
RELATED SONG TITLES,Jeopardy!
WHERE IN THE WORLD IS YOUR HQ?,Jeopardy!
____ OF ____,Jeopardy!
GRANDMA,Jeopardy!
WHAT BIG TEETH YOU HAVE!,Jeopardy!
BATTLE DESCRIPTIONS,Double Jeopardy!
OSCAR YOUNGEST/OLDEST,Double Jeopardy!
NIGHT AT THE MUSEUM,Double Jeopardy!
ARE YOU TOYING WITH ME?,Double Jeopardy!
"""OPE"" SPRINGS ETERNAL",Double Jeopardy!
AMERICAN THINKERS,Final Jeopardy!
DOWN UNDER,Jeopardy!
BERKELEY IN THE '60s,Jeopardy!
MATTHEWS,Jeopardy!
MULTIPLE MEANINGS,Jeopardy!
